#q2 x cv sd
932.46 0.00245471 1.69293 0.0987333
932.46 0.00254097 1.66987 0.0905195
932.46 0.00263027 1.64706 0.0923287
932.461 0.0027227 1.6245 0.112127
932.46 0.00281838 1.60219 0.0869254
932.46 0.00291743 1.58012 0.100658
932.46 0.00301995 1.5583 0.088151
932.46 0.00312608 1.53672 0.105605
932.46 0.00323594 1.51537 0.0897216
932.46 0.00334965 1.49426 0.0909008
932.46 0.00346737 1.47339 0.0973149
932.46 0.00358922 1.45275 0.0736474
932.46 0.00371535 1.43233 0.0745803
932.46 0.00384592 1.41215 0.0931159
932.46 0.00398107 1.3922 0.0798418
932.46 0.00412098 1.37247 0.0762649
932.461 0.0042658 1.35297 0.0824724
932.461 0.0044157 1.3337 0.0926224
932.46 0.00457088 1.31465 0.0659027
932.46 0.00473151 1.29582 0.0779213
932.46 0.00489779 1.27721 0.0850417
932.46 0.00506991 1.25882 0.0833433
932.46 0.00524807 1.24063 0.0676915
932.461 0.0054325 1.22265 0.0708428
932.46 0.00562341 1.20488 0.0605506
932.46 0.00582103 1.18731 0.065326
932.461 0.0060256 1.16995 0.0617865
932.46 0.00623735 1.15279 0.0596516
932.46 0.00645654 1.13584 0.0732458
932.46 0.00668344 1.11908 0.075456
932.46 0.00691831 1.10253 0.0770148
932.46 0.00716143 1.08617 0.0726271
932.461 0.0074131 1.07001 0.0736962
932.46 0.00767361 1.05404 0.073399
932.46 0.00794328 1.03826 0.0553068
932.46 0.00822243 1.02268 0.0632278
932.46 0.00851138 1.0073 0.0655636
932.46 0.00881049 0.992098 0.0599062
932.46 0.00912011 0.977089 0.0519635
932.46 0.00944061 0.962269 0.0670153
932.46 0.00977237 0.947636 0.0646715
